Question,Answer
What is the pH specification for Sodium Propionate according to PhEur 6.0?,7.8-9.2 
What is the water content specification for Sodium Propionate according to USP32-NF27?,<1.0% 
What is the heavy metals limit for Sodium Propionate according to PhEur 6.0?,<10 ppm 
What is the heavy metals limit for Sodium Propionate according to USP32-NF27?,<0.001% 
What is the limit for iron in Sodium Propionate according to PhEur 6.0?,<10 ppm 
What is the loss on drying limit for Sodium Propionate according to PhEur 6.0?,0.5% 
What is the assay (dried basis) specification for Sodium Propionate according to PhEur 6.0?,99.0-101.0% 
What is the assay (dried basis) specification for Sodium Propionate according to USP32-NF27?,99.0-100.5% 
What is the pH specification for Sodium Starch Glycolate Type A according to PhEur 6.0?,5.5-7.5 
What is the pH specification for Sodium Starch Glycolate Type A according to USP32-NF27?,5.5-7.5 
What is the pH specification for Sodium Starch Glycolate Type B according to PhEur 6.0?,3.0-5.0 
What is the pH specification for Sodium Starch Glycolate Type B according to USP32-NF27?,3.0-5.0 
What is the pH specification for Sodium Starch Glycolate Type C according to PhEur 6.0?,5.5-7.5 
What is the heavy metals limit for Sodium Starch Glycolate according to PhEur 6.0?,<20 ppm 
What is the heavy metals limit for Sodium Starch Glycolate according to USP32-NF27?,<0.002% 
What is the iron limit for Sodium Starch Glycolate according to PhEur 6.0?,<20 ppm 
What is the iron limit for Sodium Starch Glycolate according to USP32-NF27?,<0.002% 
What is the loss on drying limit for Sodium Starch Glycolate Type A according to PhEur 6.0?,<10.0% 
What is the loss on drying limit for Sodium Starch Glycolate Type A according to USP32-NF27?,<10% 
What is the loss on drying limit for Sodium Starch Glycolate Type B according to PhEur 6.0?,≤10.0% 
What is the loss on drying limit for Sodium Starch Glycolate Type C according to PhEur 6.0?,<7.0% 
What is the sodium chloride limit for Sodium Starch Glycolate Type A according to PhEur 6.0?,<7.0% 
What is the sodium chloride limit for Sodium Starch Glycolate according to USP32-NF27?,<7.0% 
What is the sodium glycolate limit for Sodium Starch Glycolate Type A according to PhEur 6.0?,<2.0% 
What is the sodium glycolate limit for Sodium Starch Glycolate according to USP32-NF27?,<2.0% 
What is the assay (of Na) specification for Sodium Starch Glycolate Type A according to PhEur 6.0?,2.8-4.2% 
